county,office_bp,candidate,party
Webster,Webster County Jailer,Cameron Shelton,REP
Webster,Webster County Jailer,Nathan Stinchcomb,REP
Webster,Webster County Judge/Executive,Jeremy Tyler Brown,DEM
Webster,Webster County Judge/Executive,Stacey Britt Eliot,DEM
Webster,Webster County Magistrate District 2,Bob Hardison,REP
Webster,Webster County Magistrate District 2,Darrin Buchanan,REP
Webster,Webster County Magistrate District 2,Jerry Brown,REP
Webster,Webster County Magistrate District 2,Jimmy Ray Collins,REP
Webster,Webster County Magistrate District 3,Charles Syers,REP
Webster,Webster County Magistrate District 3,Ken Stuart,REP
Webster,Webster County Magistrate District 3,Taryn Bailey Zaretzke,REP
Webster,Webster County Magistrate District 3,Tony Felker,REP
Whitley,Whitley County Clerk,Evelyn McCullah,REP
Whitley,Whitley County Clerk,Mike Harris,REP
Whitley,Whitley County Clerk,Scotty Harrison,REP
Whitley,Whitley County Constable District 3,Jim Thornton,REP
Whitley,Whitley County Constable District 3,Jordan Davis,REP
Whitley,Whitley County Jailer,Chuck Evans,REP
Whitley,Whitley County Jailer,Jason Wilson,REP
Whitley,Whitley County Magistrate District 1,Bobby Parker,REP
Whitley,Whitley County Magistrate District 1,C.J. Clark,REP
Whitley,Whitley County Magistrate District 1,James Hayes,REP
Whitley,Whitley County Magistrate District 1,Jonah Rice,REP
Whitley,Whitley County Magistrate District 1,Lloyd Carter,REP
Whitley,Whitley County Magistrate District 3,Michael Jarboe,REP
Whitley,Whitley County Magistrate District 3,Noah A. Mahan,REP
Whitley,Whitley County Magistrate District 3,Ricky Grubb,REP
Whitley,Whitley County Magistrate District 4,Eugene Smith,REP
Whitley,Whitley County Magistrate District 4,Raleigh Meadors,REP
Whitley,Whitley County Sheriff,B.J. Leach,REP
Whitley,Whitley County Sheriff,Willard Scott Bunch,REP
Whitley,Whitley County Sheriff,William Elliotte,REP
Wolfe,Wolfe County Constable 2 District,Jason Miller,DEM
Wolfe,Wolfe County Constable 2 District,John Matthew Cannon,DEM
Wolfe,Wolfe County Magistrate District 1,Arthur Vest,DEM
Wolfe,Wolfe County Magistrate District 1,Gary Dunn,DEM
Wolfe,Wolfe County Magistrate District 1,Timothy Bailey,DEM
Wolfe,Wolfe County Magistrate District 2,Gene Taylor Booth,DEM
Wolfe,Wolfe County Magistrate District 2,Michael B. Perry,DEM
Wolfe,Wolfe County Magistrate District 2,Steve Oliver,DEM
Woodford,Woodford County Coroner,Danny Owens,REP
Woodford,Woodford County Coroner,Penny Baker,REP
Woodford,Woodford County Magistrate District 2,Adam J. Marshall,REP
Woodford,Woodford County Magistrate District 2,Chris Hooten,REP
Woodford,Woodford County Magistrate District 8,Elizabeth Arrington,REP
Woodford,Woodford County Magistrate District 8,Joshua D. Kight,REP
Woodford,Woodford County Magistrate District 8,Kenneth M. Scott,DEM
Woodford,Woodford County Magistrate District 8,Linda Shryock Popp,DEM
